State,Constituency,Candidate,Party,Criminal_Cases,Education,Age,Total_Assets,Total_Liabilities
ANDHRA PRADESH,KURNOOL,AHMED ALI KHAN,INC,0,12TH PASS,42,158831414,0
ANDHRA PRADESH,KURNOOL,B. SHIVA KUMAR,IND,0,10TH PASS,40,,
ANDHRA PRADESH,KURNOOL,DANDU SESHU YADAV,SP,0,GRADUATE PROFESSIONAL,39,1950000,0
ANDHRA PRADESH,KURNOOL,DEVARAPOGU MADDILETY,IND,1,10TH PASS,45,523616,0
ANDHRA PRADESH,KURNOOL,G SANJEEVA KUMAR,SAMAJWADI FORWARD BLOC,0,10TH PASS,38,160000,0
ANDHRA PRADESH,KURNOOL,HATCHOLI THOMAS,IND,0,10TH PASS,47,2752615,238020
ANDHRA PRADESH,KURNOOL,KOMMIREDDY PRABHAKAR REDDY,CPI(M),1,GRADUATE PROFESSIONAL,58,1659077,85000
ANDHRA PRADESH,KURNOOL,KOTLA JAYA SURYA PRAKASH REDDY,TDP,0,GRADUATE,67,174762674,1450000
ANDHRA PRADESH,KURNOOL,M. NAGANNA,SUCI(C),1,ILLITERATE,66,,
ANDHRA PRADESH,KURNOOL,P.V. PARTHASARATHI,BJP,0,POST GRADUATE,48,297510890,62328052
ANDHRA PRADESH,KURNOOL,P.V. SRIHARI,IND,0,DOCTORATE,51,25865207,5975759
ANDHRA PRADESH,KURNOOL,S.MD. SHAFATH,RAYALASEEMA RASHTRA SAMITHI,0,GRADUATE PROFESSIONAL,30,,
ANDHRA PRADESH,KURNOOL,T. BEECHUPALLY,IND,0,GRADUATE,26,192000,0
ANDHRA PRADESH,MACHILIPATNAM,BALASHOWRY VALLABHANENI,YSRCP,2,POST GRADUATE,50,990575840,746310844
ANDHRA PRADESH,MACHILIPATNAM,BANDREDDI RAMAKRISHNA,JANASENA PARTY,0,POST GRADUATE,44,100800000,37600000
ANDHRA PRADESH,MACHILIPATNAM,GANDHI DHANEKULA,IND,0,10TH PASS,70,,
ANDHRA PRADESH,MACHILIPATNAM,GOLLU KRISHNA,INC,5,OTHERS,55,8795000,11400000
ANDHRA PRADESH,MACHILIPATNAM,GUDIVAKA RAMANJANEYULU,BJP,0,GRADUATE,57,32695161,10500000
ANDHRA PRADESH,MACHILIPATNAM,GUDIVAKA VENKATA NAGA BASAVA RAO,IND,0,12TH PASS,26,,
ANDHRA PRADESH,MACHILIPATNAM,KONAKALLA NARAYANA RAO,TDP,0,12TH PASS,68,58649214,16809408
ANDHRA PRADESH,MACHILIPATNAM,NADAKUDITI NAGA GAYATHRI,IND,0,POST GRADUATE,38,8921500,4390000
ANDHRA PRADESH,MACHILIPATNAM,VALLURU VENKATESWARA RAO,PYRAMID PARTY OF INDIA,0,GRADUATE,78,21825290,1200000
